age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
56,64.9,158.7,2.08,no,Hyderabad,Student,Low
69,43.5,172.4,22.62,no,Chennai,Student,Medium
46,92.5,162.2,32.51,no,Mumbai,Teacher,High
32,68.0,156.6,28.26,yes,Lucknow,Engineer,Low
60,65.8,179.8,41.41,no,Delhi,Teacher,High
25,94.3,160.4,41.31,yes,Pune,Engineer,Medium
78,80.8,165.8,30.74,no,Mumbai,Government,Medium
38,62.0,164.3,3.06,no,Delhi,Freelancer,Medium
56,72.5,172.2,19.73,no,Hyderabad,Engineer,Medium
75,69.4,170.3,12.98,no,Hyderabad,Private,Low
36,91.7,168.3,18.26,no,Kolkata,Freelancer,Medium
40,67.5,162.9,31.63,no,Hyderabad,Teacher,Low
28,48.4,167.3,5.19,yes,Delhi,Government,Medium
28,41.8,172.9,3.07,no,Pune,Doctor,Medium
41,92.1,171.2,22.97,no,Delhi,Teacher,Low
70,58.2,181.2,40.09,no,Hyderabad,Freelancer,High
53,80.1,177.6,3.47,no,Pune,Freelancer,Medium
57,71.1,181.1,42.75,no,Pune,Student,Low
41,63.8,183.5,20.43,no,Delhi,Doctor,High
20,66.1,171.9,7.68,no,Lucknow,Business,Medium
39,93.8,178.5,29.24,no,Kolkata,Government,Medium
70,48.3,173.4,47.71,no,Lucknow,Business,Low
19,64.2,183.3,28.04,no,Kolkata,Business,Medium
41,83.6,152.5,34.96,no,Bangalore,Student,High
61,50.8,166.8,41.19,no,Delhi,Private,Low
47,89.8,174.1,40.37,no,Lucknow,Government,Medium
55,83.4,175.7,5.51,no,Mumbai,Government,Low
19,74.1,169.8,37.57,no,Chennai,Private,Low
77,62.5,153.4,47.57,no,Bangalore,Student,Low
38,48.8,168.2,35.63,yes,Delhi,Engineer,Medium
50,80.6,178.2,42.15,no,Bangalore,Government,Low
29,111.2,166.8,25.31,no,Hyderabad,Private,Medium
75,72.2,170.9,17.32,yes,Hyderabad,Student,Low
39,42.6,189.2,34.46,no,Hyderabad,Private,High
78,76.9,168.1,25.63,yes,Delhi,Freelancer,Medium
61,82.9,168.4,44.97,no,Lucknow,Government,Medium
42,56.2,171.9,48.77,yes,Delhi,Engineer,Low
66,60.3,172.4,41.35,no,Bangalore,Business,Medium
44,58.8,171.3,49.65,no,Delhi,Teacher,Medium
76,62.0,173.9,18.72,no,Pune,Teacher,Low
80,67.4,158.1,45.0,no,Delhi,Government,Low
59,57.1,168.8,17.84,yes,Chennai,Freelancer,Low
45,51.5,157.7,7.67,no,Mumbai,Student,Medium
77,72.6,170.6,31.83,no,Kolkata,Government,Medium
33,67.3,176.0,23.84,no,Chennai,Business,Medium
32,63.5,168.6,46.24,no,Kolkata,Government,Medium
79,71.2,160.5,25.63,yes,Kolkata,Business,Low
79,47.2,165.7,46.53,no,Mumbai,Engineer,Low
64,73.9,188.0,5.77,no,Pune,Private,Medium
79,63.8,184.5,41.86,no,Chennai,Private,High
68,73.6,164.6,38.44,no,Delhi,Private,High
61,76.0,164.5,36.56,no,Mumbai,Engineer,Medium
72,87.0,168.9,19.05,no,Delhi,Business,Low
69,71.5,182.4,39.62,no,Delhi,Government,Medium
74,86.0,152.5,25.2,no,Hyderabad,Private,Low
20,65.2,164.4,36.33,no,Delhi,Private,Medium
54,65.9,174.1,28.51,yes,Delhi,Student,Medium
68,68.6,173.0,9.56,yes,Lucknow,Student,Low
24,81.6,165.7,5.1,no,Lucknow,Freelancer,Medium
38,79.5,167.5,19.58,no,Chennai,Business,High
26,72.0,173.3,46.77,yes,Kolkata,Freelancer,Low
56,51.6,165.9,27.43,yes,Kolkata,Government,Medium
35,79.2,159.4,40.51,no,Chennai,Freelancer,Medium
21,57.1,168.1,29.65,no,Kolkata,Freelancer,Low
42,56.3,171.9,47.98,no,Hyderabad,Government,Medium
77,52.9,148.8,19.73,yes,Mumbai,Teacher,Low
31,68.8,173.9,4.74,no,Delhi,Teacher,Medium
67,88.2,179.7,39.47,no,Delhi,Engineer,Medium
75,55.5,166.4,35.86,no,Pune,Government,Low
26,95.2,166.6,27.32,no,Hyderabad,Business,Medium
43,83.6,162.6,17.67,yes,Delhi,Teacher,Medium
70,48.0,168.5,11.04,no,Bangalore,Student,High
19,64.3,164.4,25.15,no,Mumbai,Doctor,Medium
37,54.4,184.5,33.98,no,Bangalore,Doctor,Medium
